index,ODDO1,00:00:00,00:30:00,01:00:00,01:30:00,02:00:00,02:30:00,03:00:00,03:30:00,04:00:00,04:30:00,05:00:00,05:30:00,06:00:00,06:30:00,07:00:00,07:30:00,08:00:00,08:30:00,09:00:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00
17711,-62.021544800000015,7532128,7377632,7328688,7490096,7574880,7376144,7379424,7390928,7351808,7446464,7345648,7335152,7498640,7473712,7475696,7425456,7367360,7564320,7528704,7378896,7363088,7512240,7376224,7366016
17712,-61.432602400000064,7532128,7377632,7328688,7490096,7574880,7376144,7379424,7390928,7351808,7443712,7345648,7335152,7498640,7473712,7475696,7425456,7367360,7564320,7528704,7378896,7363088,7512240,7376224,7366016
17713,-60.84366010000008,7532128,7362416,7328688,7490096,7574880,7376144,7379424,7390928,7351808,7443712,7345648,7335152,7498640,7473712,7475696,7425456,7367360,7564320,7528704,7378896,7363088,7512240,7376224,7366016
17714,-60.254717800000094,7532128,7362416,7328688,7490096,7574880,7376144,7379424,7390928,7351808,7443712,7345648,7334144,7498640,7473712,7475696,7425456,7367360,7564320,7528704,7378896,7363088,7507248,7376224,7366016
17715,-59.665775499999995,7532128,7362416,7328688,7490096,7574880,7376144,7379424,7390928,7351808,7443712,7345648,7334144,7498640,7473712,7475696,7425456,7367360,7564320,7528704,7378896,7363088,7507248,7376224,7366016
17716,-59.07683320000001,7532128,7362416,7328688,7490096,7574880,7376144,7379424,7390928,7351808,7443712,7345648,7334144,7498640,7473712,7475696,7425456,7367360,7564320,7528704,7378896,7363088,7507248,7376224,7366016
17717,-58.487890900000025,7532128,7362416,7328688,7490096,7574880,7376144,7379424,7390928,7351808,7443712,7345648,7334144,7498640,7473712,7475696,7425456,7367360,7564320,7528704,7378896,7363088,7507248,7376224,7366016
17718,-57.89894860000004,7532128,7362416,7328688,7490096,7574880,7376144,7379424,7390928,7351808,7443712,7345648,7334144,7498640,7473712,7475696,7425456,7367360,7564320,7528704,7378896,7363088,7507248,7376224,7366016
17719,-57.310006300000055,7532128,7362416,7328688,7484112,7574880,7376144,7379424,7390928,7351808,7443712,7345648,7334144,7498640,7473712,7475696,7425456,7367360,7564320,7528704,7378896,7363088,7507248,7376224,7366016
17720,-56.72106400000007,7532128,7362416,7328688,7484112,7574880,7376144,7379424,7390928,7351808,7443712,7345648,7334144,7498640,7473712,7475696,7425456,7367360,7564320,7528704,7378896,7363088,7507248,7376224,7366016
